iter	SMAPE	RMSE
229	5.354416928	5.00416502
230	5.351161228	5.000969601
231	5.349755437	4.999092991
232	5.348453782	4.997484891
233	5.347288228	4.995853966
234	5.344864246	4.993514669
235	5.342878407	4.991476564
236	5.341255463	4.989711988
237	5.337957644	4.986868816
238	5.335980014	4.984704127
239	5.332595392	4.98173178
240	5.330944444	4.980278714
241	5.327626217	4.976951696
242	5.324852074	4.974892014
243	5.323784707	4.973709096
244	5.320931193	4.970226334
245	5.318504684	4.967707198
246	5.316828783	4.965754129
247	5.314869091	4.963034693
248	5.313380188	4.96109232
249	5.311724024	4.959364817
250	5.309258711	4.956741149
251	5.30594767	4.953845347
252	5.303376054	4.951671114
253	5.301289395	4.94907689
254	5.299738152	4.947554008
255	5.297409148	4.945308714
256	5.296746931	4.944063852
257	5.294840022	4.942170823
258	5.293024847	4.940352536
259	5.289444183	4.93749007
260	5.287969318	4.936399058
261	5.285697995	4.934302831
262	5.284857456	4.933302205
263	5.282367417	4.931023032
264	5.280701123	4.929405335
265	5.278144588	4.926525141
266	5.275868515	4.924237598
267	5.274582208	4.922362252
268	5.272414389	4.92055063
269	5.269409828	4.917862673
270	5.267781595	4.916433316
271	5.265369909	4.914224116
272	5.262965047	4.911792329
273	5.260758728	4.909429893
274	5.259363089	4.908280644
275	5.258748313	4.907259515
276	5.255907234	4.904762943
277	5.25413313	4.902772327
278	5.252911867	4.901235782
279	5.250592062	4.898589931
280	5.246813539	4.894913276
281	5.245609282	4.89330913
282	5.2441071	4.891811965
283	5.241892233	4.889601851
284	5.240101275	4.887798175
285	5.238964625	4.886679138
286	5.237126798	4.884533335
287	5.235713521	4.883070353
288	5.235690906	4.883033227
289	5.233746529	4.8815401
290	5.232247828	4.880194128
291	5.230937807	4.878732917
292	5.228981171	4.876871433
293	5.226996226	4.874600902
294	5.22696646	4.874568016
295	5.226028661	4.87342262
296	5.223603535	4.871233813
297	5.220737556	4.868261952
298	5.219066786	4.8665138
299	5.217168944	4.864625137
300	5.214669853	4.862925461
301	5.21283589	4.860938267
302	5.210334962	4.85891558
303	5.208232523	4.856847868
304	5.206687209	4.854523556
305	5.20522899	4.853093399
306	5.20462199	4.852058051
307	5.203640459	4.851066311
308	5.201766107	4.849187773
309	5.200065255	4.847304005
310	5.197262691	4.844400804
311	5.195733698	4.843012734
312	5.192991248	4.840564207
313	5.190495576	4.837857378
314	5.18867805	4.835732624
315	5.186352246	4.833481231
316	5.184466339	4.831589656
317	5.183331297	4.830380082
318	5.181564666	4.828439349
319	5.179854641	4.827113722
320	5.177435001	4.824937467
321	5.175033222	4.823030004
322	5.1730761	4.820733703
323	5.171169648	4.819156928
324	5.169973336	4.817771811
325	5.167073301	4.814914794
326	5.165136335	4.812618863
327	5.163327003	4.810562312
328	5.161105865	4.808085033
329	5.159464928	4.806716661
330	5.158240347	4.805176639
331	5.156886285	4.803719222
332	5.15542236	4.802190215
333	5.153325716	4.799974649
334	5.152876305	4.799554087
335	5.150923259	4.797866266
336	5.149216657	4.796001626
337	5.148174337	4.794870263
338	5.146975755	4.793431714
339	5.145714866	4.79212539
340	5.144280995	4.790561756
341	5.142401258	4.788684433
342	5.140727737	4.787273602
343	5.139367923	4.785492576
344	5.13780077	4.783742272
345	5.13695338	4.782315289
346	5.135726322	4.780986236
347	5.133386846	4.778836953
348	5.13178212	4.777495257
349	5.130364935	4.7757145
350	5.129729665	4.774727505
351	5.128216618	4.773430303
352	5.126467073	4.771398497
353	5.123869946	4.769128301
354	5.121864655	4.767108208
355	5.120224809	4.765607874
356	5.118209288	4.763821457
357	5.116309652	4.761739534
358	5.114297459	4.759534684
359	5.112656387	4.757336231
360	5.11075287	4.755052567
361	5.109720115	4.753446887
362	5.107868453	4.75176906
363	5.105910015	4.749600972
364	5.104851282	4.748514528
365	5.103589642	4.747358032
366	5.102282519	4.745504177
367	5.100918106	4.744089215
368	5.099651191	4.742667975
369	5.098644996	4.741694829
370	5.096956251	4.739642702
371	5.095061625	4.737333646
372	5.094758774	4.736612679
373	5.093233076	4.735172132
374	5.091121667	4.732902968
375	5.089674991	4.731292001
376	5.088571845	4.730193343
377	5.087341935	4.728520045
378	5.086529571	4.727533585
379	5.084838027	4.726015953
380	5.082392365	4.723801203
381	5.079676812	4.721475206
382	5.078697615	4.720354416
383	5.07700583	4.718195771
384	5.075714675	4.716705517
385	5.074758416	4.715379942
386	5.073379942	4.713552916
387	5.070833635	4.710622107
388	5.069412622	4.709168057
389	5.067362196	4.707661744
390	5.065589461	4.705847441
391	5.063397859	4.704211338
392	5.062112863	4.702674129
393	5.061058541	4.70120946
394	5.059658844	4.699304516
395	5.057670915	4.697448941
396	5.055576212	4.695528533
397	5.054113084	4.693857568
398	5.053060607	4.692660034
399	5.050937135	4.690331867
400	5.049107157	4.688447238
401	5.047951773	4.687400381
402	5.046048862	4.685204597
403	5.04547838	4.68472081
404	5.0444691	4.683743693
405	5.043513716	4.682312406
406	5.041952453	4.680644836
407	5.040866286	4.679497709
408	5.03913206	4.677621607
409	5.03707622	4.675629353
410	5.035053021	4.673704459
411	5.033460776	4.672474183
412	5.031848195	4.670815047
413	5.030211996	4.669071576
414	5.028568641	4.667581216
415	5.026311369	4.665814633
416	5.024657982	4.664357086
417	5.023791437	4.6630657
418	5.022608073	4.661958102
419	5.021473011	4.6606253
420	5.019068343	4.658718099
421	5.016245868	4.656470316
422	5.016188085	4.656425932
423	5.014386612	4.654871269
424	5.011102673	4.652183654
425	5.007826558	4.649461389
426	5.005128522	4.646974078
427	5.003623316	4.645393301
428	5.001982964	4.6436554
429	4.999814637	4.642088399
430	4.998479249	4.640407237
431	4.997280574	4.638959665
432	4.994966254	4.636662126
433	4.994782778	4.636307086
434	4.993225919	4.63491174
435	4.991663918	4.633320924
436	4.990492291	4.632300658
437	4.989030871	4.630530018
438	4.987129163	4.628464283
439	4.986150577	4.627199962
440	4.985333697	4.626124564
441	4.982951774	4.624173172
442	4.981470642	4.622828376
443	4.980575003	4.621351725
444	4.979559539	4.619823744
445	4.978072364	4.6181885
446	4.976485048	4.616158163
447	4.974416039	4.613521097
448	4.972486546	4.611570615
449	4.971504534	4.610356634
450	4.970106378	4.60890691
451	4.970079086	4.608881843
452	4.970051019	4.608860465
453	4.968398652	4.607509159
454	4.96687318	4.605765808
455	4.965508258	4.604391481
456	4.964003053	4.602998281
457	4.962036745	4.601370343
458	4.960597312	4.600303455
459	4.958831347	4.598870179
460	4.957257814	4.597535247
461	4.955583839	4.59601952
462	4.953022444	4.593570399
463	4.951947288	4.591962541
464	4.950523307	4.590494515
465	4.949151773	4.588981328
466	4.94707382	4.587005124
467	4.945951313	4.585525479
468	4.943896461	4.583212228
469	4.942022662	4.581572479
470	4.940683568	4.580178664
471	4.939454571	4.579032683
472	4.938248409	4.577743019
473	4.936516812	4.576214221
474	4.934922324	4.574283267
475	4.933193966	4.572543529
476	4.931611925	4.570959515
477	4.930410039	4.569296076
478	4.929240991	4.56802999
479	4.928044063	4.567220577
480	4.927350402	4.565904788
481	4.927205356	4.565554737
482	4.925156311	4.563526331
483	4.923676446	4.56221916
484	4.922560428	4.560917508
485	4.920775812	4.558998082
486	4.918973305	4.557723865
487	4.917333898	4.556039389
488	4.915601941	4.554322489
489	4.913550046	4.552844045
490	4.911380554	4.550820532
491	4.910219032	4.549975532
492	4.908656232	4.548454837
493	4.906972224	4.546367783
494	4.905571938	4.545341767
495	4.904391564	4.544292214
496	4.903432916	4.54278859
497	4.90187503	4.540943213
498	4.899838936	4.538571164
499	4.898747153	4.537605403
500	4.896603931	4.535525144
501	4.894577966	4.53352031
502	4.893191781	4.53226214
503	4.892142948	4.530943427
504	4.890321759	4.52936661
505	4.88937591	4.528063727
506	4.887706266	4.526793619
507	4.886428119	4.52551326
508	4.884987153	4.523305369
509	4.883706044	4.521899249
510	4.882027714	4.519694232
511	4.880368621	4.518034563
512	4.87794155	4.515709316
513	4.876171423	4.514266132
514	4.874863136	4.513041886
515	4.873238856	4.511143017
516	4.871849794	4.509938252
517	4.870024743	4.507856264
518	4.869268035	4.506953132
519	4.867989871	4.505670582
520	4.86694952	4.50467245
521	4.865354729	4.503321033
522	4.864514848	4.502366892
523	4.86312915	4.501063325
524	4.862083786	4.499959852
525	4.860667566	4.498333811
526	4.858766664	4.495844883
527	4.857922545	4.494947043
528	4.856037831	4.493430633
529	4.854192778	4.491760338
530	4.853021209	4.490787922
531	4.852044524	4.489505129
532	4.849458842	4.48723135
533	4.848101168	4.485619168
534	4.846386184	4.484152524
535	4.845606231	4.483449197
536	4.84372308	4.48123326
537	4.841948547	4.479247888
538	4.839884715	4.477914867
539	4.837919275	4.476039708
540	4.836505589	4.474565266
541	4.835396734	4.473853556
542	4.834046	4.472619629
543	4.83274414	4.471436565
544	4.831250155	4.470078385
545	4.829975099	4.46879642
546	4.828171931	4.466439681
547	4.826537399	4.464866408
548	4.825380087	4.463683106
549	4.823992421	4.462224365
550	4.822103747	4.460543268
551	4.820783326	4.459343911
552	4.819403486	4.457694376
553	4.818677691	4.456451802
554	4.817607747	4.455343345
555	4.816322767	4.454139019
556	4.815478414	4.453272552
557	4.814138998	4.452046889
558	4.813013192	4.450652066
559	4.811057857	4.447983664
560	4.809801356	4.446883679
561	4.808428838	4.445114995
562	4.806770989	4.443366625
563	4.80550779	4.441855123
564	4.804116911	4.440444712
565	4.80353378	4.439505501
566	4.802158297	4.438281969
567	4.800870998	4.437233069
568	4.799000251	4.435311552
569	4.798096148	4.434343511
570	4.796434983	4.432305227
571	4.794380211	4.430270821
572	4.793285143	4.429020417
573	4.79104564	4.426722532
574	4.789748873	4.425242966
575	4.787886042	4.423803526
576	4.786540946	4.422649093
577	4.78513906	4.421538365
578	4.783762568	4.42029092
579	4.78138374	4.418284375
580	4.780234075	4.416536626
581	4.778883662	4.4147911
582	4.776775188	4.413312429
583	4.77541466	4.411945951
584	4.774259505	4.410622023
585	4.772396606	4.408696486
586	4.771142853	4.407748717
587	4.769767676	4.405886685
588	4.76802171	4.404297053
589	4.766458159	4.402599899
590	4.764738717	4.400899866
591	4.76380684	4.399656629
592	4.762964294	4.398760833
593	4.761457874	4.397386793
594	4.76009688	4.396003048
595	4.758850321	4.394723828
596	4.757871386	4.393932636
597	4.756047204	4.39192065
598	4.754872207	4.390771463
599	4.753674485	4.389534274
600	4.752179082	4.388071237
601	4.750545165	4.386694765
602	4.749587498	4.385474266
603	4.748430681	4.384423286
604	4.747172365	4.383317069
605	4.74608607	4.382211036
606	4.744913203	4.380791399
607	4.744090101	4.379991033
608	4.742253178	4.378589458
609	4.740478997	4.376971331
610	4.739075546	4.3751941
611	4.737560067	4.373793509
612	4.736425975	4.372597536
613	4.735209933	4.371406863
614	4.734686882	4.370532357
615	4.732716523	4.368896745
616	4.731114735	4.367531377
617	4.729632975	4.366156805
618	4.729267029	4.365669231
619	4.727647922	4.36435457
620	4.726645079	4.36358009
621	4.724984001	4.362191624
622	4.724235727	4.361214561
623	4.723025362	4.359917527
624	4.720826872	4.357822032
625	4.719160043	4.356308256
626	4.717992625	4.355142014
627	4.716843069	4.353737241
628	4.715954555	4.352468195
629	4.715393222	4.351692397
630	4.71388545	4.350343965
631	4.711988945	4.348586395
632	4.710456421	4.347353235
633	4.709032317	4.345902083
634	4.706469229	4.343392406
635	4.705811333	4.342710306
636	4.703946667	4.341205545
637	4.702464798	4.339917362
638	4.701672267	4.338662386
639	4.699654999	4.336742663
640	4.697458565	4.334822598
641	4.696281371	4.333940496
642	4.695223572	4.332896801
643	4.693953202	4.331566168
644	4.692961233	4.330657092
645	4.691828619	4.329196665
646	4.690562259	4.328047705
647	4.688947095	4.326688576
648	4.68690607	4.325173358
649	4.685688826	4.323999969
650	4.684607324	4.322920666
651	4.683670475	4.321578477
652	4.682078196	4.320203029
653	4.680720115	4.318866767
654	4.679786984	4.317980385
655	4.678467143	4.316772444
656	4.677360686	4.315646386
657	4.675902023	4.314402494
658	4.674975136	4.313298373
659	4.673620227	4.31228263
660	4.672128577	4.310868219
661	4.670170588	4.308830117
662	4.668791215	4.306934972
663	4.667153432	4.305372108
664	4.666012323	4.304165209
665	4.664379334	4.302698937
666	4.662738537	4.301124015
667	4.661686536	4.299948618
668	4.660031677	4.298677138
669	4.659041118	4.297712536
670	4.657855828	4.296508492
671	4.656658764	4.295456501
672	4.655556803	4.294417565
673	4.65448857	4.293348257
674	4.653117798	4.292273892
675	4.651330985	4.290553536
676	4.651052295	4.290153304
677	4.650728553	4.289922469
678	4.649132211	4.288546774
679	4.64789411	4.287522658
680	4.646623782	4.286255184
681	4.645833588	4.285280231
682	4.644618967	4.283661361
683	4.643410659	4.282414559
684	4.641914571	4.28112014
685	4.640319123	4.279755788
686	4.639070272	4.278368794
687	4.6390443	4.278348547
688	4.638755246	4.277920611
689	4.637904909	4.277101002
690	4.637882748	4.277083586
691	4.637181534	4.276324069
692	4.635831803	4.274894963
693	4.63500444	4.273968914
694	4.633157756	4.271801751
695	4.631845506	4.270727988
696	4.63116648	4.270138828
697	4.630224837	4.269123495
698	4.629127043	4.267805017
699	4.628528743	4.267014625
700	4.627039103	4.265759554
701	4.625890191	4.264524719
702	4.624548976	4.263333725
703	4.623034833	4.26193051
704	4.62137975	4.260405633
705	4.62010009	4.259326364
706	4.618315089	4.257791008
707	4.616680557	4.256401081
708	4.615045084	4.255325636
709	4.614523809	4.25459811
710	4.612873221	4.253193478
711	4.611044153	4.251553136
712	4.61019703	4.250249195
713	4.60890498	4.249285935
714	4.607184993	4.247580204
715	4.606062118	4.246472104
716	4.604911023	4.245334143
717	4.604032661	4.244274443
718	4.602231879	4.242414156
719	4.601163675	4.241243517
720	4.599875307	4.240073612
721	4.5973945	4.238154099
722	4.595909041	4.236822837
723	4.594756773	4.235613108
724	4.593455259	4.234329383
725	4.592258329	4.233042009
726	4.590852055	4.23162205
727	4.589243379	4.230173414
728	4.588767361	4.229719948
729	4.586996942	4.228328037
730	4.585409683	4.226637138
731	4.584081257	4.22507057
732	4.583452092	4.224366888
733	4.58212492	4.222785263
734	4.580705504	4.221221144
735	4.580251772	4.220813575
736	4.578919614	4.219148355
737	4.577368768	4.21786058
738	4.5763592	4.216653413
739	4.57529847	4.215782839
740	4.574633618	4.214999668
741	4.573188408	4.213796964
742	4.571886357	4.212681359
743	4.569803316	4.210107714
744	4.567745521	4.208409687
745	4.566836622	4.207446975
746	4.566171388	4.206748757
747	4.564929041	4.205168621
748	4.563954048	4.204084761
749	4.562221844	4.202542054
750	4.561579555	4.201954691
751	4.560996628	4.201327291
752	4.559757975	4.199902346
753	4.5581563	4.198288477
754	4.556579191	4.196721582
755	4.55511377	4.195382066
756	4.554348058	4.194607974
757	4.553107855	4.193573675
758	4.551869581	4.192636653
759	4.550709161	4.191364336
760	4.549650167	4.190387615
761	4.548383701	4.189316184
762	4.547490692	4.188436395
763	4.546688344	4.187907311
764	4.545085365	4.186681512
765	4.543567603	4.185398366
766	4.542410217	4.184398976
767	4.540537268	4.182494295
768	4.539021006	4.180912415
769	4.537869243	4.179907958
770	4.53675624	4.178752754
771	4.535914021	4.177768427
772	4.53454723	4.17615946
773	4.532846026	4.174846558
774	4.531487703	4.173555852
775	4.530491571	4.172627482
776	4.528981915	4.17081455
777	4.527753816	4.169629896
778	4.526866434	4.168658788
779	4.525255097	4.166993858
780	4.524353138	4.165990228
781	4.523500288	4.165138203
782	4.521190112	4.163095241
783	4.51986924	4.16185002
784	4.51983613	4.16182739
785	4.518774343	4.160954702
786	4.517524026	4.159718629
787	4.51745764	4.159690409
788	4.516714372	4.158475485
789	4.515828661	4.15734419
790	4.514768296	4.156291555
791	4.513781696	4.155319676
792	4.5127878	4.154407229
793	4.512751709	4.154372236
794	4.511139198	4.152423764
795	4.510080487	4.151438016
796	4.50905079	4.150323205
797	4.507701277	4.149068571
798	4.507688856	4.149054925
799	4.506228233	4.147487272
800	4.505285886	4.146381043
801	4.504651748	4.145857382
802	4.504629089	4.145840552
803	4.504615695	4.145829525
804	4.503369069	4.144740951
805	4.502800582	4.144133216
806	4.501652165	4.142938105
807	4.500623269	4.141833275
808	4.49944193	4.140648841
809	4.497926392	4.138989201
810	4.49722225	4.138431751
811	4.496534058	4.137772489
812	4.495090241	4.136356106
813	4.493566928	4.134733857
814	4.492054244	4.133379817
815	4.490935608	4.131965832
816	4.490805265	4.131830543
817	4.489771886	4.130847392
818	4.488503225	4.129531287
819	4.487561994	4.128373173
820	4.486613889	4.127330293
821	4.485249512	4.125927695
822	4.483491561	4.124401461
823	4.482540503	4.123552722
824	4.4812044	4.122373878
825	4.479945057	4.120824421
826	4.477882433	4.118998349
827	4.476650804	4.118023207
828	4.475614891	4.116817912
829	4.474004019	4.114840629
830	4.472583103	4.113623474
831	4.47208094	4.113038303
832	4.471354256	4.112312994
833	4.470382429	4.111358599
834	4.469750245	4.1102461
835	4.468631798	4.109391378
836	4.467829695	4.108546968
837	4.466069002	4.107074488
838	4.465030581	4.106057673
839	4.464055788	4.10481901
840	4.463383185	4.104024064
841	4.461733667	4.102339608
842	4.461568487	4.10222786
843	4.46084287	4.101587471
844	4.459910956	4.100732752
845	4.458790224	4.099684369
846	4.458201691	4.098997348
847	4.457336757	4.09785914
848	4.455531946	4.09603169
849	4.454523716	4.094800065
850	4.453747707	4.093870493
851	4.453150591	4.093148925
852	4.451983592	4.092179288
853	4.450489469	4.090712571
854	4.449880447	4.089998759
855	4.4487527	4.088814432
856	4.447184021	4.087582927
857	4.446046568	4.086523104
858	4.444827269	4.085153672
859	4.44372393	4.084043691
860	4.442852642	4.083319017
861	4.441343648	4.081960979
862	4.440153641	4.080723094
863	4.438347509	4.078803373
864	4.437498978	4.077450027
865	4.436741587	4.076783142
866	4.435203051	4.075270892
867	4.434108593	4.074139667
868	4.433534423	4.073423642
869	4.432740999	4.072673493
870	4.431599254	4.07160941
871	4.431154213	4.070972028
872	4.429966107	4.069879328
873	4.429089649	4.068720543
874	4.427666723	4.067157474
875	4.425752731	4.065526524
876	4.425051958	4.064769006
877	4.423479678	4.063603567
878	4.422409562	4.062600679
879	4.420657184	4.06124136
880	4.419130965	4.05980302
881	4.417732025	4.058144192
882	4.417013578	4.057525131
883	4.416016644	4.056634288
884	4.414354387	4.054963448
885	4.412542342	4.053450956
886	4.411651504	4.052604605
887	4.410641051	4.051597999
888	4.408849438	4.049919946
889	4.407852642	4.048958849
890	4.407176294	4.048132647
891	4.405434124	4.04646566
892	4.404516829	4.045423207
893	4.403008097	4.044172283
894	4.402201768	4.043178056
895	4.401013038	4.041675107
896	4.399683301	4.040230632
897	4.398759706	4.039176868
898	4.397765514	4.038401813
899	4.396275783	4.036790098
900	4.395308389	4.036081119
901	4.393787942	4.034169621
902	4.392434462	4.033142251
903	4.391992944	4.032584012
904	4.390921593	4.031429383
905	4.390320021	4.030800278
906	4.388685154	4.029111079
907	4.387816253	4.028344788
908	4.387003569	4.027591807
909	4.385461272	4.025962471
910	4.384684114	4.025204585
911	4.383612064	4.024208645
912	4.383060354	4.023574494
913	4.381105107	4.02183725
914	4.380138191	4.02083413
915	4.378971499	4.019608338
916	4.377653528	4.018763273
917	4.376361429	4.017973172
918	4.374570565	4.016480246
919	4.373429642	4.015045318
920	4.371772318	4.013551028
921	4.370808014	4.012747607
922	4.370084103	4.011833198
923	4.368668805	4.010465656
924	4.367783544	4.009456947
925	4.366972663	4.008884139
926	4.365691743	4.007937609
927	4.364208348	4.006614455
928	4.362743419	4.005377242
929	4.362102332	4.004861908
930	4.360949114	4.003738081
931	4.359805399	4.002449803
932	4.358734472	4.001513351
933	4.357208025	4.000309634
934	4.355756131	3.998727984
935	4.354586446	3.997634366
936	4.353694427	3.996697296
937	4.352966918	3.996038319
938	4.351969119	3.994671683
939	4.349944282	3.993336029
940	4.348722605	3.992122531
941	4.347803972	3.991081718
942	4.346641834	3.989996805
943	4.34535813	3.988875717
944	4.344238083	3.987732222
945	4.343007041	3.986283822
946	4.342279931	3.985558351
947	4.340737041	3.983995848
948	4.339363634	3.982982357
949	4.338158431	3.981592527
950	4.337400028	3.98102484
951	4.336681847	3.980079963
952	4.335639078	3.979055914
953	4.334429316	3.978060455
954	4.333645005	3.977263277
955	4.332855902	3.976596974
956	4.331817024	3.975527146
957	4.330167619	3.974041935
958	4.329580744	3.973302778
959	4.328448675	3.972247879
960	4.327378076	3.971444182
961	4.327163921	3.971033646
962	4.325811967	3.969516792
963	4.324851876	3.96839314
964	4.323267796	3.967318583
965	4.322491108	3.966189061
966	4.321325039	3.964989052
967	4.320270593	3.963951767
968	4.319616557	3.963238882
969	4.318427052	3.961894017
970	4.317331392	3.960953731
971	4.316447382	3.959945945
972	4.315064111	3.958664807
973	4.314294073	3.958028016
974	4.313407419	3.956803094
975	4.313385974	3.956794981
976	4.311960088	3.955611098
977	4.310847858	3.954495243
978	4.309345441	3.953349347
979	4.308108026	3.952198106
980	4.306597932	3.950685118
981	4.304948227	3.949148998
982	4.303595031	3.947960098
983	4.302150349	3.946313105
984	4.301047419	3.945289987
985	4.299675336	3.943966585
986	4.298754222	3.943059365
987	4.297417703	3.941712645
988	4.296369677	3.940685177
989	4.295039512	3.939103263
990	4.293401921	3.937784684
991	4.292634607	3.936939329
992	4.291231006	3.935821543
993	4.290091631	3.934613081
994	4.288077312	3.93284876
995	4.287119219	3.931826087
996	4.286089331	3.930781015
997	4.284991601	3.92971447
